domain,source_type,indicator,supplier_name,category,jurisdiction_hint,verification_needed
sro.nl,Tracker hint,youtube.com,YouTube,video embed,VS leverancier,ja
sro.nl,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
regiogv.nl,MX,10 regiogv-nl.mail.eo.outlook.com,Onbekend,onbekend,Onbekend,ja
regiogv.nl,SPF include,_spf.zivver.com,Zivver,secure mail,Nederlandse leverancier,ja
regiogv.nl,SPF include,_spf.zorgmail.nl,Onbekend,onbekend,Onbekend,ja
regiogv.nl,SPF include,lms.plusport.com,Onbekend,onbekend,Onbekend,ja
regiogv.nl,SPF include,spf.decoscloud.com,Onbekend,onbekend,Onbekend,ja
regiogv.nl,SPF include,spf.eprov.nl,Onbekend,onbekend,Onbekend,ja
regiogv.nl,SPF include,spf.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
regiogv.nl,SPF include,spf.regiogv.nl,Onbekend,onbekend,Onbekend,ja
regiogv.nl,External script,fonts.googleapis.com,Google APIs,third-party script,VS leverancier,ja
regiogv.nl,External script,fonts.gstatic.com,Google Static,third-party script,VS leverancier,ja
regiogv.nl,External script,www.googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
regiogv.nl,Tracker hint,googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
regiogv.nl,Tracker hint,vimeo.com,Onbekend,onbekend,Onbekend,ja
regiogv.nl,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
gad.nl,MX,10 gad-nl.mail.eo.outlook.com,Onbekend,onbekend,Onbekend,ja
gad.nl,SPF include,_spf.zivver.com,Zivver,secure mail,Nederlandse leverancier,ja
gad.nl,SPF include,spf.decoscloud.com,Onbekend,onbekend,Onbekend,ja
gad.nl,SPF include,spf.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
gad.nl,SPF ip4,149.210.189.175/32,Onbekend,onbekend,Onbekend,ja
gad.nl,SPF ip4,77.95.101.107/32,Onbekend,onbekend,Onbekend,ja
gad.nl,SPF ip4,77.95.97.228/32,Onbekend,onbekend,Onbekend,ja
gad.nl,SPF ip4,77.95.97.236/32,Onbekend,onbekend,Onbekend,ja
gad.nl,External script,fonts.googleapis.com,Google APIs,third-party script,VS leverancier,ja
gad.nl,External script,fonts.gstatic.com,Google Static,third-party script,VS leverancier,ja
gad.nl,External script,www.browsealoud.com,Onbekend,onbekend,Onbekend,ja
gad.nl,External script,www.googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
gad.nl,Tracker hint,googletagmanager.com,Google Tag Manager,analytics/tracking,VS leverancier,ja
gad.nl,Tracker hint,youtube.com,YouTube,video embed,VS leverancier,ja
gad.nl,Hosting hint,Onbekend,Onbekend,onbekend,Onbekend,ja
vrgooienvechtstreek.nl,MX,0 vrgooienvechtstreek-nl.mail.protection.outlook.com,Microsoft 365 / Exchange Online,mail/cloud,VS leverancier met mogelijke EU-regio,ja
vrgooienvechtstreek.nl,SPF include,brandweergooivecht.nl,Onbekend,onbekend,Onbekend,ja
